"id_company","id","name"
0,779,THE015B
0,780,ROXTAMUZIK
0,781,BIG FACE RECORDS
0,782,Chili Music Korea
0,783,Blue Fox Entertainment
0,784,Delight Music
0,785,Coolwave Entertainment
0,786,FLO
0,787,Cowz Entertainment
0,788,Alpha Entertainment
0,789,HMI Entertainment
0,790,C.C Entertainment
0,791,ES Management
0,792,World Music
0,793,Lime Music
0,794,Yng & Rich Records
0,795,Beyond Music
0,796,Gap entertainment
0,797,Studio MOS
0,798,Alo Malo Entertainment
502,799,Mine Field
0,800,Cosm
0,801,D-Nation
0,802,Dalsooobin Company
0,803,Dmost Entertainment
0,804,Xanadu Entertainment
0,805,Rocketan Company
0,806,Peace Angels Company
0,807,SOUL FAMILY PRODUCTIONS
0,808,Lee Yeon Entertainment
0,809,Goodberry Entertainment
0,810,ODE Entertainment
0,811,MS Team Entertainment
0,812,Space Sound
0,813,Faction a Like
0,814,Ent102
0,815,Gravity Music
0,816,Apple Monster + DG Entertainment
0,817,Monster Entertainment Group
0,818,Human Made
0,819,"Newentry Co., Ltd."
0,820,Slow Town Music
0,821,Starhue Entertainment
0,822,AER Music
0,823,GRID Entertainment
0,824,AXIS
0,825,Bill Entertainment
0,826,Erta Alle
1,827,All I Know Music
0,828,SEL Records
0,829,House Of Dreams
0,830,HERBIGHARO
0,831,Henecia Music
0,832,Eru Entertainment
0,833,Black Made
0,834,Watermelon Entertainment
0,835,DG Entertainment
0,836,D-One Music
0,837,How Entertainment
0,838,Goodsen Entertainment
0,839,OCTO
0,840,Archive Achim
0,841,Uncutpoint
841,842,The Dial Music
0,843,Luce Entertainment
0,844,NEWTYPE Entertainment
0,845,Initial Music
0,846,Blacknine Records
0,847,The Plug
0,848,ID:Earth Company
0,849,SOM Company
0,850,Gachi Entertainment
0,851,Bipa Company
0,852,The Faker Club
0,853,The Givers
0,854,Lean Branding + SPK Entertainment
0,855,Nanum Entertainment
0,856,Elen Entertainment
0,857,Juntos Music
0,858,STO Entertainment
0,859,Tamago Production
361,860,ATOC
0,861,Great M Entertainment
0,862,Coral Bridge
0,863,Video Village
0,864,T Cask Ent.
0,865,Saeraon
1,866,SM C&C
0,867,Saram Entertainment
0,868,Wild Entertainment
0,869,Superbell Company
0,870,Enough Enough
0,871,Dejavu Group
0,872,"808 HI Recordings"
0,873,Babylon Records
0,874,Beasts And Natives Alike
0,875,Munn Company
0,876,MonoTree
0,877,Soon Ent
0,878,Model Directors Ent
0,879,Warner Music Japan
0,880,Under Water
0,881,Xunfei Music
0,882,Mimi Entertainment
0,883,Soul Sting
0,884,S27 Entertainment
0,885,ALFHA
0,886,Kiya Music
0,887,Celebit
0,888,Forstar Company
0,889,Bright Entertainment
0,890,VillionDollarEntertainment
0,891,YPC Company
0,892,VAST Entertainment
0,893,Spacesound
0,894,Music Design
0,895,TURBOJKCompany
0,896,Seo Taiji Company
0,897,GYU
0,898,BEPCTANGENT
0,899,womanandmans
0,900,Planet 905
0,901,Armada Entertainment
0,902,AAP
0,903,SAJAH Records
0,904,NEVOT
0,905,CREATIVUS
0,906,Prism Filter
0,907,NoFakeAllowed
0,908,EMK ENTERTAINMENT
0,910,Hyunjae Entertainment
0,911,BRD Communications
0,912,EVA ENTERTAINMENT
0,913,Chord Share
0,914,Golden Voice
0,915,Bobblehead Music
0,916,Dot Music
0,917,FREEWILL FOREVER STUDIOS
0,918,Naturally Music
0,919,Alarm
0,920,JOIN.S International
0,921,H2 Entertainment
0,922,APPLAUSEMUSIC INC.
0,923,MUSICNYU
0,924,"2LSON Company"
0,925,nuBased Records
0,926,"RX Meta Co., Ltd"
