"id","is_collab","name","kname","previous_name","previous_kname","fname","alias","id_company","members","issolo","id_parentgroup","formation","disband","fanclub","id_debut","debut_date","date_birth","is_deceased","id_country","sales","awards","views","pak_total","gaondigital_times","gaondigital_firsts","yawards_total","social","mslevel"
4517,n,Jinjeolme,진절미,"","",Lee Seulbin,이슬빈,746,female,y,4515,2022,"","",0,,"2001-01-04",n,114,0,0,0,0,0,0,0,"",0
4518,y,Bada + Ryeowook,바다 + 려욱,"","","","",1,coed,n,0,2016,"2016","",0,"2016-09-22",,n,114,0,0,1597160,0,0,0,0,[],0
4519,n,K'Pop,케이팝,"","","",K’POPULATION;Kpop;K-pop,767,male,n,0,2001,"2004","",31802,"2001-10-01",,n,114,0,0,348989,0,0,0,0,"{""M"":""101266"",""N"":""K-POP(아이돌)""}",0
4520,n,Joomin,주민,"","",Kim Joomin,김주민,767,male,y,4519,2001,"2004","",0,,"1979-03-01",n,114,0,0,0,0,0,0,0,[],0
4521,n,Donghwa,동화,"","",Kim Beomseok,김범석,767,male,y,4519,2001,"2004","",0,,"1979-08-25",n,114,0,0,0,0,0,0,0,[],0
4522,n,Youngwon,영원,"","",Lee Hyunkoo,이현구,767,male,y,4519,2001,"2004","",0,,"1980-09-05",n,114,0,0,0,0,0,0,0,[],0
4523,n,Yoobin,유빈,"","",Lee Inho,이인호,767,male,y,4519,2001,"2004","",0,,"1983-01-05",n,114,0,0,0,0,0,0,0,[],0
4524,n,Woohyun,우현,"","",Kim Sihoon,김시훈,767,male,y,4519,2001,"2004","",0,,"1983-02-02",n,114,0,0,0,0,0,0,0,[],0
4526,y,Taemin + Bewhy,태민 + 비와이,"","","","",0,male,n,0,2018,"","",0,,,n,114,0,0,0,0,0,0,0,[],0
4527,y,UV + Taemin,유브이 + 태민,"","","","",0,male,n,0,2018,"","",0,"2018-06-30",,n,114,0,0,0,0,0,0,0,[],0
4528,y,Gain + Jo Kwon,가인 + 조권,"","","","",0,coed,n,0,2009,"2009","",0,"2009-12-17",,n,114,0,2,0,0,15,4,1,[],0
4530,y,Baek A Yeon + Wendy,백아연 + 웬디,"","","","",0,female,n,0,2017,"2017","",0,"2017-12-02",,n,114,0,0,1154582,0,0,0,0,[],0
4531,y,Jimin N J.Don,지민 엔 제이던,"","","","",10,coed,n,0,2015,"2015","",8953,"2015-04-28",,n,114,0,0,4668679,0,0,0,0,[],0
4532,y,Yesung + Suran,예성 + 수란,"","","","",0,coed,n,0,2020,"","",32185,"2020-05-01",,n,114,0,0,753327,0,0,0,0,[],0
4533,y,Yesung + Seulgi,예성 + 슬기,"","","","",1,coed,n,0,2017,"","",32186,"2017-01-21",,n,114,0,0,3213038,0,0,0,0,[],0
4534,n,UV,유브이,"","","","",768,male,n,0,2010,"","",0,"2010-04-16",,n,114,0,0,17449866,0,35,0,0,"{""M"":""467060"",""N"":""UV"",""Y"":""UC0oRRcVleNBmELYTgzwoBpg""}",1
4535,n,Yoo Seyoon,유세윤,"","",Yoo Seyoon,"",768,male,y,4534,2010,"","",0,,"1980-09-12",n,114,0,0,4478687,0,3,0,0,"",0
4536,n,Muzie,뮤지,"","",Lee Yong Woon,이용운,122,male,y,4534,2010,"","",0,,"1981-10-15",n,114,0,0,1621833,0,0,0,0,[],0
4537,y,SUV,신동&유브이,"","","",SHINDONG&UV;신동&UV,0,male,n,0,2017,"","",0,"2017-06-02",,n,114,0,0,2341556,0,0,0,0,[],0
4538,y,UV + Choi Siwon,유브이 + 최시원,"","","",UV X 최시원,0,male,n,0,2022,"","",0,"2022-03-30",,n,114,0,0,430186,0,0,0,0,[],0
4539,n,GOMAK BOYS,고막소년단,"","","","",30,male,n,0,2022,"","",0,"2022-11-22",,n,114,0,0,611915,0,0,0,0,"{""I"":""gomakboys_official"",""M"":""3156956"",""N"":""고막소년단""}",0
4540,n,XEED,씨드,"","","","",491,male,n,0,2022,"2024-04","",32249,"2022-12-01",,n,114,0,0,2132694,0,0,0,0,"{""M"":""3175549"",""N"":""XEED(아이돌)"",""T"":""XEED_OFFICIAL"",""I"":""xeed__official""}",0
4541,n,DOHA,도하,"","",Park Do Ha,박도하;Park Hyo Jun;박효준,491,male,y,4540,2022,"","",0,,"1992-03-27",n,114,0,0,0,0,0,0,0,"",0
4542,n,BAO,바오,"","",Bae Seongyeob,배성엽,676,male,y,4540,2018,"","",0,,"1996-05-12",n,114,0,0,0,0,0,0,0,"",0
4543,n,Jaemin,재민,"","",Shin Jaemin,신재민,491,male,y,4540,2022,"","",0,,"1996-06-08",n,114,0,0,0,0,0,0,0,"",0
4544,n,LUCENTE,루첸트,"","","","",676,male,n,0,2018,"2021-04","",32250,"2018-09-18",,n,114,0,0,310091,0,0,0,0,"{""T"":""LUCENTE_NOGA"",""I"":""lucente_noga"",""Y"":""UC8Y-nF5yeax_oF8rzokXc6g"",""M"":""2298150"",""N"":""루첸트"",""O"":""LUCENTE.NOGA""}",0
4545,n,U.Seong,유성,"","",Kim Moonseong,김문성,676,male,y,4544,2018,"","",0,,"1994-12-19",n,114,0,0,0,0,0,0,0,"",0
4546,n,Hero,영웅,"","",Lee Youngwoong,이영웅,676,male,y,4544,2018,"","",0,,"1993-02-16",n,114,0,0,0,0,0,0,0,"",0
4547,n,Taejun,태준,"","",Kim Taejun,김태준,676,male,y,4544,2018,"","",0,,"1996-03-02",n,114,0,0,0,0,0,0,0,"",0
4548,n,Z.Hoo,지후,"","",Ahn Ji Hoo,안지후,676,male,y,4544,2018,"","",0,,"1997-02-28",n,114,0,0,0,0,0,0,0,"",0
4549,y,Yuri + Raiden,유리 + 레이든,"","","","",1,coed,n,0,2018,"2018","",0,"2018-01-26",,n,114,0,0,2346784,0,0,0,0,[],0
4550,y,Raiden + HYO,레이든 + 효연,"","","","",1,coed,n,0,2020,"2020","",0,"2020-10-30",,n,114,0,0,278117,0,0,0,0,[],0
4551,y,San E + Hyolyn,산이 + 효린,"","","","",0,coed,n,0,2015,"2015","",0,"2015-01-02",,n,114,0,0,1487936,0,0,0,0,[],0
4552,n,Ja Jung,자정,"","","","",677,female,n,0,2022,"","",32255,"2022-11-30",,n,114,0,0,1136821,0,0,0,0,"{""Y"":""UC-wHZHLmnXJGC_55WdbnNPw"",""M"":""3156885""}",0
4553,n,Tophyun,탑현,"","",Lee Sanghyun,이상현,0,male,y,0,2020,"","",0,,"1993-09-22",n,114,0,0,10863017,0,92,0,0,"{""M"":""2893700"",""N"":""탑현"",""I"":""tophyun_"",""Y"":""UCc31zhnmSwJB8czlaXlFSSg"",""O"":""tophyun""}",1
4554,n,lake tinn,레이크틴,"","","","",601,male,n,0,2021,"","",0,"2021-06-11",,n,114,0,0,22489,0,0,0,0,"{""M"":""2943385"",""I"":""lake_tinn_""}",0
4555,n,THE FIX,더픽스,"","","","",271,female,n,0,2021,"","",32260,"2022-11-26",,n,114,0,0,61666,0,0,0,0,"{""M"":""2968032"",""N"":""THE%20FIX"",""T"":""bandthefix"",""I"":""bandthefix"",""Y"":""UC3R95aJVMErCj9bPfHTBPFQ"",""O"":""bandthefix""}",0
4556,n,Bak Chang Geun,박창근,"","",Bak Chang Geun,"",0,male,y,0,1999,"","",0,"1999-10-01","1972-11-05",n,114,57498,0,193061,0,0,0,0,"{""M"":""205950"",""N"":""박창근""}",1
4557,n,Lucky J,럭키제이,"","","","",87,coed,n,0,2014,"2016-08","",32309,"2014-07-17",,n,114,0,0,335546,0,0,0,0,"{""K"":""Lucky_J"",""M"":""778487"",""N"":""럭키제이""}",0
4558,n,J’Kyun,제이켠,"","",Kim Jung Tae,김정태,87,male,y,4557,2014,"","",0,,"1985-01-11",n,114,0,0,31658,0,0,0,0,"",0
4559,n,JERO,JERO,J-Yo,제이요,Jeon Jun Yong,정준영,87,male,y,4557,2014,"","",0,,"1991-09-25",n,114,0,0,192674,0,0,0,0,"{""M"":""778778""}",0
4560,n,yey,yey,"","",Kim Yejeong,김예정,0,female,y,0,2020,"","",0,"2020-02-18",,n,114,0,0,149850,0,0,0,0,"{""I"":""heyeyaae"",""M"":""2854798"",""A"":""yey/1499300526"",""S"":""502fuIaKBgR51zNneCKFGj""}",0
4561,y,Eru + J-Yo,이루 + 제이요,"","","","",0,male,n,0,2015,"2015","",0,"2015-02-26",,n,114,0,0,246434,0,0,0,0,[],0
4562,y,T1 X Raiden + THE BOYZ,레이든 + 더보이즈,"","","","",0,male,n,0,2022,"2022","",0,"2022-10-07",,n,114,0,0,653693,0,0,0,0,[],0
4563,n,Kim Seungmin,김승민,"","",Kim Seungmin,"",800,male,y,0,2014,"","",0,,"1995-08-07",n,114,0,0,326572,0,34,0,0,"{""I"":""superstarjimmyfuckedup"",""M"":""827322"",""N"":""김승민(래퍼)"",""C"":""sm95-1""}",1
4564,n,Rollercoaster,롤러코스터,"","","","",678,coed,n,0,1999,"2015","",32350,"1999-07-01",,n,114,0,0,762167,0,0,0,1,"{""M"":""100195"",""N"":""롤러코스터(밴드)""}",0
4565,n,Cho Wonseon,조원선,"","",Cho Wonseon,"",678,female,y,4564,1999,"","",0,,"1972-07-03",n,114,0,0,0,0,0,0,0,"{""N"":""조원선""}",0
4567,n,Cherry Filter,체리 필터,"","","",Cherryfilter,256,coed,n,0,1997,"","",0,"2000-04-14",,n,114,0,0,1912058,0,3,0,2,"{""Y"":""UCKTD_Rh7yAD5x9Snt4ZSJsw"",""M"":""101491"",""N"":""Cherry%20Filter"",""K"":""Cherry_Filter"",""F"":""cherryfilterofficial"",""A"":""cherryfilter\/888159802"",""S"":""3uk3Jz2yT37niCo3c5GMf2""}",0
4568,n,Cheung Woo Jin,정우진,"","",Cheung Woojin,"",256,male,y,4567,2000,"","",0,,"1976-04-20",n,114,0,0,0,0,0,0,0,"",0
4569,n,Yaenhead,연헤드,"","",Yeon Yun Geun,연윤근,256,male,y,4567,2000,"","",0,,"1976-09-21",n,114,0,0,0,0,0,0,0,"",0
4570,n,Sonstar,손스타,"","",Son Sang Hyeok,손상혁,256,male,y,4567,2000,"","",0,,"1977-01-13",n,114,0,0,0,0,0,0,0,"",0
4571,n,Youjeen,유진,"","",Cho Yoo Jin,조유진,256,female,y,4567,2000,"","",0,,"1977-07-05",n,114,0,0,44861,0,0,0,0,"",0
4572,n,Girl's World,소녀세상,"","","","",450,female,n,0,2022,"","",32376,"2022-06-20",,n,114,0,0,240473,0,0,0,0,"{""T"":""girlsworld1004"",""I"":""official_girlsworld"",""Y"":""UCPhfrW2f5BB1BYVhN8xl41Q"",""M"":""3104232"",""N"":""소녀세상""}",0
4573,n,Windy,윈디,"","",Park Jin Ju,박진주,450,female,y,4572,2022,"","",0,,"2000-02-23",n,114,0,0,0,0,0,0,0,"",0
4574,n,Kyrin,카이린,"","",Park Geum Ju,박금주,450,female,y,4572,2020,"","",0,,"2001-02-23",n,114,0,0,0,0,0,0,0,"",0
